mesh,trial,ready_seconds,ready_ok,sidecar_ok,sidecar_cpu_core_seconds,sidecar_mem_peak_mi,sidecar_count_peak,app_cpu_core_seconds,app_mem_peak_mi,app_count_peak
linkerd,1,6,1,1,0.465760,34.48,10,0.304138,72.32,10
linkerd,2,5,1,1,0.267357,22.99,10,0.243818,60.95,10
linkerd,3,5,1,1,0.430924,22.91,10,0.391410,61.68,10
linkerd,4,7,1,1,0.366350,23.18,10,0.224400,61.72,10
linkerd,5,14,1,1,0.432642,25.90,10,0.393298,63.71,10
istio,1,6,1,1,3.497959,272.82,10,0.586670,71.00,10
istio,2,9,1,1,4.963865,302.16,10,0.581665,71.54,10
istio,3,9,1,1,4.594286,299.01,10,0.498979,69.60,10
istio,4,9,1,1,5.575595,289.80,10,0.678754,68.68,10
istio,5,7,1,1,3.722312,300.86,10,0.464581,64.06,10
